date,hour,traffic
08/03/14,19,98
08/03/14,20,60
08/03/14,21,0
08/03/14,22,0
09/03/14,8,0
09/03/14,9,0
09/03/14,10,48
09/03/14,11,62
09/03/14,12,83
09/03/14,13,95
09/03/14,14,101
09/03/14,15,103
09/03/14,16,98
09/03/14,17,122
09/03/14,18,112
09/03/14,19,89
09/03/14,20,28
09/03/14,21,0
09/03/14,22,0
10/03/14,8,0
10/03/14,9,0
10/03/14,10,15
10/03/14,11,22
10/03/14,12,28
10/03/14,13,27
10/03/14,14,38
10/03/14,15,39
10/03/14,16,27
10/03/14,17,33
10/03/14,18,40
10/03/14,19,37
10/03/14,20,17
10/03/14,21,0
10/03/14,22,0
11/03/14,8,0
11/03/14,9,0
11/03/14,10,19
11/03/14,11,24
11/03/14,12,27
11/03/14,13,37
11/03/14,14,33
11/03/14,15,41
11/03/14,16,21
11/03/14,17,34
11/03/14,18,42
11/03/14,19,42
11/03/14,20,40
11/03/14,21,0
11/03/14,22,0
12/03/14,8,0
12/03/14,9,0
12/03/14,10,30
12/03/14,11,22
12/03/14,12,42
12/03/14,13,37
12/03/14,14,32
12/03/14,15,34
12/03/14,16,46
12/03/14,17,41
12/03/14,18,54
12/03/14,19,37
12/03/14,20,12
12/03/14,21,0
12/03/14,22,0
13/03/14,8,0
13/03/14,9,0
13/03/14,10,27
13/03/14,11,25
13/03/14,12,44
13/03/14,13,33
13/03/14,14,36
13/03/14,15,28
13/03/14,16,49
13/03/14,17,42
13/03/14,18,48
13/03/14,19,42
13/03/14,20,20
13/03/14,21,0
13/03/14,22,0
14/03/14,8,0
14/03/14,9,0
14/03/14,10,46
14/03/14,11,23
14/03/14,12,39
14/03/14,13,37
14/03/14,14,23
14/03/14,15,57
14/03/14,16,42
14/03/14,17,55
14/03/14,18,79
14/03/14,19,56
14/03/14,20,46
14/03/14,21,0
14/03/14,22,0
15/03/14,8,0
15/03/14,9,0
15/03/14,10,57
15/03/14,11,71
15/03/14,12,79
15/03/14,13,115
15/03/14,14,87
15/03/14,15,108
15/03/14,16,80
15/03/14,17,99
15/03/14,18,107
